token,utterance
name1 씨는,36
name 씨는,30
name2 씨는,23
name2 님은,16
name1 님은,14
name1 씨,10
name2 님께서는,9
name 씨,9
name 씨도,7
name1 님께서는,7
name 씨가,5
name2 언니는,4
name1 언니,4
company-name 다닐,4
name1 씨가,4
name2 씨,3
name2 아빠도,3
name2 아빠가,3
name2 아빠,3
name1 형님은,3
name2 아빠는,3
name3 결혼식,2
name1이는 만약에,2
name 너는,2
company-name1이 하는,2
name1랑 같이,2
name1이 아빠도,2
name1이 아빠는,2
name1이 아빠,2
name1이 너는,2
name2도 알다시피,2
name2이도 관절이,2
company-name7 라는,2
name2이는 뭐가,2
name2 씨도,2
name1 언니도,2
name1 씨랑,2
name1 씨도,2
name1 님,2
name2 님,2
name3이 너는,2
others3 인가?,2
name2 혹시,2
name1 같은,2
name2 같은,2
name1 먹어,2
name 씬,2
name2 님께서도,2
name1 누나,2
name2이는 쥬씨에서,1
name2이는 바라는,1
name2이는 어떤,1
name2이는 파스타,1
name2이는 평소에도,1
name2이는 혹시,1
name2이는 서브웨이,1
name2이는 딸기,1
name2이는 떡볶이,1
name2이는 딱,1
name2이가 저렇게,1
name2이가 엄마가,1
name2이가 술을,1
name2이 형아는,1
name2이 하는,1
name2이 오빤갑다,1
name2이 오빠한테,1
name2이 아빠,1
name2이 시험,1
name3는 잘,1
name2이도 친정,1
name2이도 다음에,1
name3 걔는,1
name3 집에,1
name3 재워놓고,1
name3 씨는,1
name3 선생님,1
name3가 지난,1
name3 선배랑,1
name3 선배가,1
name3네도 그렇고,1
name3 되게,1
name2이 마늘빵,1
name3 결혼식에서,1
name2한테도 적극,1
name2이도 친구로,1
name2한테 제일,1
name2한테 일어나서도,1
name2하고 둘만,1
name2하고 나하고,1
name2이랑 슈퍼를,1
name2이랑 둘이,1
name3는 어떻게,1
name2이랑 나랑,1
name2이랑 name3이랑,1
name2이란 친구와,1
name3는 자기는,1
name2이 먹어,1
name2아 네가,1
name2이 기억해요?,1
name2는 본,1
name2가 부럽다우.,1
name2가 언니가,1
name2가 연락,1
name2가 이것저것,1
name2가 저하고,1
name2가 좋은,1
name2가 지금,1
name2가 진짜,1
name2가 학교에,1
name2까지 하면,1
name2꺼 보니까,1
name2는 name5이는,1
name2는 그러면,1
name2는 그러면은,1
name2는 그럼,1
name2가 미니,1
name2가 딸이,1
name2가 다,1
name2 저기,1
name2 아기,1
name2 아빠나,1
name2 언니,1
name2 엄마도,1
name2 여럿,1
name2 여서,1
name2 피드,1
name2가 근력이,1
name2 하고도,1
name2 항상,1
name2가 company-name4을,1
name2가 name2이가,1
name2가 그때,1
name2가 그런,1
name2는 까칠하지도,1
name2는 시크하고,1
name2이 고3,1
name2는 아직까지,1
name2랑 둘이,1
name2를 알게,1
name2를 좀,1
name2쌤 얘기하시는,1
name2아 너,1
name2야 너,1
name2야 일단,1
name2에 대한,1
name2은 과일,1
name2은 남편하고의,1
name2은 요즘,1
name2은 지금,1
name2이 name1이,1
name2이 같은,1
name2이 결혼식,1
name2랑 같이,1
name2랑 가,1
name2라든지 이렇게,1
name2는 한약,1
name2는 안,1
name2는 어땠어?,1
name2는 어떻게,1
name2는 요새,1
name2는 요즘,1
name2는 학생이다,1
name2는 한참,1
name2도 중학교,1
name2는 혹시,1
name2도 그런,1
name2도 예뻐.,1
name2도 요가를,1
name2도 운동을,1
name2도 좀,1
name3는 참,1
&address&1에 가면은,1
name3도 지금,1
name누나가 어린이가,1
name8도 다닌다고?,1
name8도 하고,1
name9랑 같이,1
name가 그때,1
name가 말했던,1
name가 알려,1
name너 요즘에,1
name는 공무원이,1
name님이 원하는,1
name는 그럼,1
name는 만약에,1
name는 서울이나,1
name는 튀김소보로도,1
name님 성격을,1
name님은 어떻게,1
name님의 마음이,1
name8가 좀,1
name8가 내,1
name7이랑 또,1
name7이랑 나랑,1
name6가 좀,1
name6랑 정말,1
name6를 추가한,1
name6를 추가해서,1
name6이 지나다니면서,1
name6이가 슛이나,1
name6이는 높은,1
name6이는 본인,1
name6이도 공격수를,1
name6이의 수비,1
name7 쌤,1
name7도 하고,1
name7이 같은,1
name7이 쪽도,1
name7이가 추후에,1
name님이 간,1
name도 말했듯이,1
name6가 더,1
others1 라고,1
name이랑 1주일,1
name이랑 이렇게,1
name이랑. 근데,1
name이랑도 진짜,1
name이한테 그렀,1
others 라는,1
others. others,1
others1라는 유튜버가,1
name라는 몰티즈,1
others2 영상을,1
others2랑 그냥,1
others3나 많더라고.,1
others4가 가장,1
others5? 곡이,1
others6가 분위기는,1
