preds,labels
광장에서 쇼핑을 했던 게 더 기억에 남는다.,"이 대화에서 화자들은 좋았던 여행지와 기억나는 주요 명소에 대해 이야기했습니다. SD2000001은 여행을 좋아하여 국내, 해외 여행을 많이 다녔다고 말했습니다. 특히 기억에 남는 여행지로 스페인 마드리드의 톨레도를 소개했습니다. 그 중 화려하게 꾸며진 대성당과 디저트가 인상적이었다고 이야기했습니다. SD2000002는 대학교에 진학한 후 해외여행을 자주 다녔고, 스페인과 포루투갈이 가장 기억에 남는 여행지라고 말했습니다. 그리고 톨레도도 다녀왔지만 날씨가 더워서 제대로 구경하지 못했다는 경험을 이야기했습니다."
화자 에스디(SD)20001은 멀리 가거나 해외 특히 해외를 가는 경우에는 다시 방문하기가 쉽지 않은 경우가 많아서 이 되도록 갔을 때 모든 것을 즐기고 오자라는 생각이 있어서 돈을 조금 더 쓰더라도 경험할 수 있는 것을 다 경험하는 것이 좋다고 생각한다.,"이 대화에서 화자들은 쇼핑하기, 숙소, 음식 등 각자 선호하는 여행 스타일에 대해 이야기했습니다. SD2000002는 여행할 때 쇼핑하는 것을 좋아하고, 숙소의 청결도를 중요하게 생각하지만 숙소비에 너무 많은 돈을 쓰지 않는다고 말했습니다. 또한 여행할 때 그 지역의 음식을 먹는 것을 좋아하여 음식에 돈을 아끼지 않고 새로운 음식을 시도해보는 것을 좋아하기 때문에 달팽이 요리를 먹었던 것이 기억에 남는다고 말했습니다. SD2000001은 여행을 할 때 쇼핑은 많이 하지 않고 체력 소모를 고려해 일정에 정해진 여행지만 방문하는 것을 선호한다고 말했습니다. 그리고 혼자 여행하는 것보다 같이 여행하는 것을 좋아하며, 엄마와 함께 여행하는 것을 좋아한다고 하였습니다. 또한 여행할 때 충분히 경험하고 돌아오기 위해 돈을 아끼지 않는 성향을 가지고 있다고 하였습니다."
여행 갔을 때 화자 에스디(SD)20001번 버스를 타게 되었는데 버스가 굉장히 사람이 많은 만원 버스가 되었다.,"이 대화에서 화자들은 기억에 남는 여행지와 일화에 대해 이야기했습니다. SD2000001은 날씨가 좋아서 여행하기에 편하고 예쁜 기념품이 많았던 체코가 기억에 남는 여행지라고 말했고, 만원 버스를 탔을 때 교통카드를 단말기에 찍을 수가 없어 곤란했었는데 버스 기사가 웃으면서 이해해줬던 일화가 기억에 남는다고 말했습니다. SD2000002는 일본의 오키나와가 한국에서 지리적으로 가깝고 도시가 작아 여행하기 좋았다고 말하면서 사람들이 친절해서 기억에 남는다고 이야기했습니다."
토마토는 설탕을 뿌리면 그나마 먹을 수는 있지만 생으로는 가지볶음을 만든다고 하고 가지의 식감이 그대로 살아있기 때문에 좋아한 적이 없는 것 같다고 한다.,"두 화자는 이 대화에서 좋아하는 음식과 싫어하는 음식에 대해 말했습니다. SD2000005는 가장 익숙하고 자주 접하는 한식을 좋아한다고 말했습니다. 그리고 토마토와 가지를 싫어하고 이유는 씹는 감촉이 좋지 않기 때문이라고 이야기했습니다. SD2000006은 대부분의 음식을 잘 먹으며 그 중 한식을 가장 선호하고 많이 먹는 편이며 길거리 음식도 좋아한다고 말했습니다. 그리고 비린 종류의 음식을 싫어하고, 생 당근과 취두부 등 생김새가 혐오감을 느끼게 하는 종류의 음식을 선호하지 않는다고 이야기했습니다."
화자 에스디(SD)는 주위에서 흔하게 볼 수 있어서 더 익숙하기도 하고 어렸을 때부터 우유는 강제로 먹었다.,"두 화자는 이 대화에서 다이어트 식품과 좋아하는 음료에 대해 이야기했습니다. SD2000006은 상대방에게 다이어트 식품 추천을 부탁했고, 어떤 종류의 음료수를 좋아하는지 물었습니다. SD2000005는 다이어트 식품으로 영양가가 좋은 샐러드를 추천했고, 좋아하는 음료수로는 우유가 들어간 것을 이야기했습니다. 그 중 스무디와 파르페 종류도 좋아한다고 말했습니다."
화자 에스디(sd)20006: 불량식품보다는 세계 과자점을 가는 편인데 불량식품보다는 좀 세계 과자점을 가는 편이다.,"두 화자는 이 대화에서 즐겨 먹는 음식, 간단하게 먹을 수 있는 음식 등에 대해 말했습니다. SD2000005는 고기와 야채 중 먹고 난 후 포만감이 금방 꺼지지 않는 고기를 더 선호한다고 말했습니다. SD2000006은 찌개 종류를 좋아하고, 베트남 음식과 떡볶이도 좋아하여 많이 먹는다고 말했습니다. 그리고 시간이 없어 간단하게 먹어야 할 때는 편의점을 이용하며, 김밥이나 샌드위치 종류로 먹는다고 했습니다. 또 밥을 빨리 먹는 편이라서 코스요리가 아니라면 음식점을 이용한다고 말했습니다. 그리고 불량 식품 보다는 세계 과자점을 이용하는 편이라고 이야기했습니다."
화자 에스디(sd)200012:가 편해서 12:1000원이라고 한다.,"이 대화에서 화자들은 국내와 해외 여행지 중에서 가보고 싶은 식당, 명소 등과 하고 싶은 것에 대해 공유했습니다. SD2000012는 일본은 맛있는 것도 많고 바다가 예쁘다며 특히 돗토리현에 꼭 가보고 싶다고 말했습니다. 한편 제주도에는 감귤 컨테이너 모양의 카페 등 독특한 카페가 많다고 말했습니다. 제주도에 간다면 해리포터 버터 맥주를 파는 가게와 삼양 빨래터에 가자고 제안했습니다. 또 서귀포에 있는 이중섭 거리에도 볼거리가 많으니 함께 가자고 덧붙였습니다. 해외 여행을 간다면 영국을 가보고 싶은데 특히 해리포터 촬영지와 홈즈 집에 가보고 싶다고 말했습니다. 유럽 중 터키는 어떤지 물으며 스머프 촬영지도 갔으면 좋겠다고 덧붙였습니다. SD2000013은 남산 타워에 가서 높은 곳에서 보는 경치를 즐기고 싶다고 했습니다. 또 부산의 해운대도 가보고 싶고 시장에 가서 먹거리를 먹어보고 싶다고 말했습니다. 제주도 월정리에도 가보고 싶다며, 다른 장소로는 빈티지 소품과 음료를 파는 만두 상점과 한적한 곳에 있어 힐링 될 수 있는 영국 찻집, 외관이 콘테나처럼 생긴 더 콘테나라는 카페, 고기를 파는 응식당에 방문하고 싶다고 말했습니다. 그리고 해외에는 영국, 국내에는 한적한 포항에 가보고 싶다고 이야기했습니다."
시어머니가 골다공증이 있어서 허리 수술할 때 골다공증 골밀도가 낮아서 약을 먹고 괜찮았던 것 같다.,"이 대화에서 화자들은 꾸준하게 먹고 있는 건강 식품과 약의 효과에 대해 이야기하고 서로 추천해주었으며 건강 식품에 대한 생각을 공유했습니다. SD2000016은 요즘 장이 안 좋고 배가 더부룩하여 유산균을 먹을 생각을 하고 있어 상대방에게 유산균을 추천해 달라고 말했습니다. 면역력에 좋은 홍삼을 꾸준하게 섭취하고 있으며, 비타민 C와 비타민 D를 먹고 구내염과 탈모에 효과가 있었다고 말했습니다. 또 공진단을 먹었을 때 피로감이 줄어든 효과가 있어 자녀에게 먹였으나 자녀는 효과가 없는 것을 보고 사람마다 잘 맞는 약이 있는 것 같다고 이야기했습니다. SD2000017은 유산균을 먹고 있으며, 생 유산균이 좋다고 하여 유기농 제품을 파는 곳에서 유산균 수를 확인하고 구입했다고 말했습니다. 보리 새싹을 구입해 다양하게 뿌려 먹고 있으며, 효과를 확인하고 싶어 남편에게 보리 새싹을 먹이고 있다고 말했습니다. 아침마다 먹는 꿀과 홍삼이 효능이 있어 자신이 효과를 봤기 때문에 건강 식품을 안일하게 생각하여 먹지 않는 사람들에게 건강 식품과 보조제를 추천한다고 이야기했습니다."
여름도 7월까지만 좋고 8월 말이나 8월부터는 너무 더워서 여름이 힘들어지는 것 같다.,이 대화에서 화자들은 추위와 더위 중에 더 많이 타는 것과 선호하는 계절과 날씨가 좋은 이유에 대해 이야기했습니다. SD2000018은 추위를 많이 타서 가을 겨울을 별로 안 좋아한다며 해가 쨍쨍한 날씨를 좋아한다고 말했습니다. 그리고 더위를 많이 타지 않고 또 바다에 놀러가는 것을 좋아해 여름을 선호한다고 말했습니다. 그렇지만 요즘에는 여름을 좋아해도 너무 더워져 여름이 많이 힘들어지는 것 같다고 이야기했습니다. SD2000017은 여름은 너무 땀을 많이 흘려서 싫고 겨울은 추위를 많이 타기 때문에 싫다고 말했습니다. 딱 좋아하는 계절은 없지만 봄과 여름 사이 그리고 가을과 겨울 사이를 좋아한다고 말했습니다. 그리고 춥지도 않고 덥지도 않은 어중간한 날씨와 특히 비가 잔잔히 내리고 살짝 흐린 날씨를 좋아한다고 했습니다.
화자 에스디(SD)200018:를 말씀해 주신 것처럼 앞으로 외국엘 여행을 나가기는 어려우니 한국에서도 조금 더 다양한 활동들이나 이런 걸 해보고 싶다.,"이 대화에서 화자들은 코로나 이전에 자주 갔던 여행이나 지금 해보고 싶은 활동, 어릴 적 기억에 남는 추억에 대해 이야기했습니다. SD2000018은 코로나가 터지기 전에는 여름마다 해외여행을 갔었지만 코로나 이후 해외로 여행을 가는 것이 어려워졌다고 말했습니다. 글라이더나 번지점프 같은 여러 활동을 해보고 싶지만 겁이 많아 다녀온 친구들의 후기로 대리만족을 느낀다고 했습니다. 또한 어렸을 때 문화 유적에서 눈썰매 탔던 것이 기억에 남는다고 이야기했습니다. SD2000017은 어디 나가는 걸 좋아하지 않아 방콕을 선호하지만 아이들의 추억 쌓기를 위해 캠핑을 다녔다고 말했습니다. 또한 한 달에 한 번 정도 가는 가벼운 소풍은 좋아한다고 했습니다. 어렸을 때 기억에 남는 일화로 지금은 보물로 지정된 소나무에서 그네를 탔던 이야기를 했습니다."
